cell_id,direction,distance_km,dist_zone,total_new,canopy_loss_ha,trees_lost,co2_loss_kg_yr
539,NW,14.043320811443401,10-15km,0,0.0,0.0,0.0
540,SW,15.960326419493825,15+km,0,0.0,0.0,0.0
541,SW,15.508542607796171,15+km,0,0.0,0.0,0.0
542,SW,15.059806380523819,15+km,3,0.044550000000000006,3.5640000000000005,78.40800000000002
543,SW,14.61439846931452,10-15km,7,0.08505,6.804,149.68800000000002
544,SW,14.172632677838624,10-15km,1,0.01215,0.972,21.384
545,SW,13.734860444211868,10-15km,0,0.0,0.0,0.0
546,SW,13.301476076849985,10-15km,0,0.0,0.0,0.0
547,SW,12.872922753751347,10-15km,0,0.0,0.0,0.0
548,SW,12.449699378904127,10-15km,1,0.01215,0.972,21.384
549,SW,12.032368388065686,10-15km,0,0.0,0.0,0.0
550,SW,11.621564586025373,10-15km,0,0.0,0.0,0.0
551,SW,11.218005073460956,10-15km,0,0.0,0.0,0.0
552,SW,10.82250027624081,10-15km,0,0.0,0.0,0.0
553,SW,10.435966013276827,10-15km,0,0.0,0.0,0.0
554,SW,10.059436417180919,10-15km,0,0.0,0.0,0.0
555,SW,9.694077337856468,6-10km,1,0.00945,0.756,16.632
556,SW,9.34119959284561,6-10km,0,0.0,0.0,0.0
557,SW,9.002271059816831,6-10km,0,0.0,0.0,0.0
558,SW,8.678926122248784,6-10km,0,0.0,0.0,0.0
559,SW,8.372970383113088,6-10km,13,0.12285,9.828,216.21599999999998
560,SW,8.086377893564313,6-10km,4,0.0378,3.024,66.528
561,SW,7.8212775068119305,6-10km,1,0.00945,0.756,16.632
562,SW,7.579924553687781,6-10km,0,0.0,0.0,0.0
563,SW,7.364654142635318,6-10km,0,0.0,0.0,0.0
564,W,7.177813388607438,6-10km,0,0.0,0.0,0.0
565,W,7.021672125833622,6-10km,0,0.0,0.0,0.0
566,W,6.898315290253519,6-10km,5,0.04724999999999999,3.7799999999999994,83.15999999999998
567,W,6.80952481784024,6-10km,8,0.0756,6.048,133.056
568,W,6.756663573526419,6-10km,6,0.0567,4.536,99.79199999999999
569,W,6.7405769075692215,6-10km,6,0.0567,4.536,99.79199999999999
570,W,6.761527301423259,6-10km,0,0.0,0.0,0.0
571,W,6.81917339924193,6-10km,0,0.0,0.0,0.0
572,W,6.912597214503778,6-10km,0,0.0,0.0,0.0
573,W,7.040374610132762,6-10km,0,0.0,0.0,0.0
574,W,7.200676985675631,6-10km,0,0.0,0.0,0.0
575,NW,7.391388465848304,6-10km,0,0.0,0.0,0.0
576,NW,7.610223246010067,6-10km,0,0.0,0.0,0.0
577,NW,7.854831141097092,6-10km,0,0.0,0.0,0.0
578,NW,8.122884134110574,6-10km,0,0.0,0.0,0.0
579,NW,8.412141288472393,6-10km,0,0.0,0.0,0.0
580,NW,8.720492844917572,6-10km,0,0.0,0.0,0.0
581,NW,9.045986395042569,6-10km,0,0.0,0.0,0.0
582,NW,9.386838885393308,6-10km,0,0.0,0.0,0.0
583,NW,9.741438223453894,6-10km,0,0.0,0.0,0.0
584,NW,10.108337799183662,10-15km,0,0.0,0.0,0.0
585,NW,10.486246586049836,10-15km,0,0.0,0.0,0.0
586,NW,10.874016822889255,10-15km,0,0.0,0.0,0.0
587,NW,11.270630695108201,10-15km,0,0.0,0.0,0.0
588,NW,11.675186964950573,10-15km,0,0.0,0.0,0.0
589,NW,12.086888146565618,10-15km,0,0.0,0.0,0.0
590,NW,12.505028567285446,10-15km,0,0.0,0.0,0.0
591,NW,12.928983481684156,10-15km,0,0.0,0.0,0.0
592,NW,13.358199289975367,10-15km,0,0.0,0.0,0.0
593,NW,13.792184840399111,10-15km,0,0.0,0.0,0.0
594,SW,15.75568223452759,15+km,0,0.0,0.0,0.0
595,SW,15.297855963384052,15+km,0,0.0,0.0,0.0
596,SW,14.842751479341073,10-15km,0,0.0,0.0,0.0
597,SW,14.390627014780083,10-15km,0,0.0,0.0,0.0
598,SW,13.941772494182901,10-15km,0,0.0,0.0,0.0
599,SW,13.496514167761674,10-15km,0,0.0,0.0,0.0
600,SW,13.055219993612832,10-15km,0,0.0,0.0,0.0
601,SW,12.618305887981352,10-15km,0,0.0,0.0,0.0
602,SW,12.186242976557685,10-15km,0,0.0,0.0,0.0
603,SW,11.759565990492089,10-15km,1,0.01215,0.972,21.384
604,SW,11.338882955819539,10-15km,7,0.08505,6.804,149.68800000000002
605,SW,10.924886319171083,10-15km,0,0.0,0.0,0.0
606,SW,10.51836562816905,10-15km,0,0.0,0.0,0.0
607,SW,10.12022183002353,10-15km,0,0.0,0.0,0.0
608,SW,9.731483149547218,6-10km,0,0.0,0.0,0.0
609,SW,9.353322334387823,6-10km,0,0.0,0.0,0.0
610,SW,8.987074779481627,6-10km,0,0.0,0.0,0.0
611,SW,8.634256626544719,6-10km,0,0.0,0.0,0.0
612,SW,8.296581337760031,6-10km,0,0.0,0.0,0.0
613,SW,7.9759724357036665,6-10km,0,0.0,0.0,0.0
614,SW,7.674569088629102,6-10km,2,0.0189,1.512,33.264
615,SW,7.394720082408663,6-10km,0,0.0,0.0,0.0
616,SW,7.1389606735304705,6-10km,0,0.0,0.0,0.0
